"Company Name","Primary Contact","Phone Number","Customer Address"
"Atelier graphique","Carine  Schmitt",40.32.2555,NULL
"Signal Gift Stores","Jean King",7025551838,"8489 Strong St., Las Vegas, NV 83030"
"Australian Collectors, Co.","Peter Ferguson","03 9520 4555","636 St Kilda Road, Melbourne, Victoria 3004"
"La Rochelle Gifts","Janine  Labrune",40.67.8555,NULL
"Baane Mini Imports","Jonas  Bergulfsen","07-98 9555",NULL
"Mini Gifts Distributors Ltd.","Susan Nelson",4155551450,"5677 Strong St., San Rafael, CA 97562"
"Havel & Zbyszek Co","Zbyszek  Piestrzeniewicz","(26) 642-7555",NULL
"Blauer See Auto, Co.","Roland Keitel","+49 69 66 90 2555",NULL
"Mini Wheels Co.","Julie Murphy",6505555787,"5557 North Pendale Street, San Francisco, CA 94217"
"Land of Toys Inc.","Kwai Lee",2125557818,"897 Long Airport Avenue, NYC, NY 10022"
"Euro+ Shopping Channel","Diego  Freyre","(91) 555 94 44",NULL
"Volvo Model Replicas, Co","Christina  Berglund","0921-12 3555",NULL
"Danish Wholesale Imports","Jytte  Petersen","31 12 3555",NULL
"Saveley & Henriot, Co.","Mary  Saveley",78.32.5555,NULL
"Dragon Souveniers, Ltd.","Eric Natividad","+65 221 7555",NULL
"Muscle Machine Inc","Jeff Young",2125557413,"4092 Furth Circle, NYC, NY 10022"
"Diecast Classics Inc.","Kelvin Leong",2155551555,"7586 Pompton St., Allentown, PA 70267"
"Technics Stores Inc.","Juri Hashimoto",6505556809,"9408 Furth Circle, Burlingame, CA 94217"
"Handji Gifts& Co","Wendy Victorino","+65 224 1555",NULL
"Herkku Gifts","Veysel Oeztan","+47 2267 3215",NULL
"American Souvenirs Inc","Keith Franco",2035557845,"149 Spinnaker Dr., New Haven, CT 97823"
"Porto Imports Co.","Isabel  de Castro","(1) 356-5555",NULL
"Daedalus Designs Imports","Martine  Rancé",20.16.1555,NULL
"La Corne D'abondance, Co.","Marie Bertrand","(1) 42.34.2555",NULL
"Cambridge Collectables Co.","Jerry Tseng",6175555555,"4658 Baden Av., Cambridge, MA 51247"
"Gift Depot Inc.","Julie King",2035552570,"25593 South Bay Ln., Bridgewater, CT 97562"
"Osaka Souveniers Co.","Mory Kentary","+81 06 6342 5555","1-6-20 Dojima, Kita-ku, Osaka  530-0003"
"Vitachrome Inc.","Michael Frick",2125551500,"2678 Kingston Rd., NYC, NY 10022"
"Toys of Finland, Co.","Matti Karttunen","90-224 8555",NULL
"AV Stores, Co.","Rachel Ashworth","(171) 555-1555",NULL
"Clover Collections, Co.","Dean Cassidy","+353 1862 1555",NULL
